placebo_date,kind,series,pct_change,lo,hi
2022-09-01,single series,cocaine,3.097884024375719,-4.799215383242117,11.650063947399513
2022-09-01,single series,synthetic_opioids,8.788715236684252,0.4425460124927172,17.828400739427487
2022-09-01,single series,psychostimulants,1.7570267469282141,-4.831581751134129,8.80177145844765
2022-09-01,contrast,cocaine vs synthetic_opioids,-5.231085963215387,-15.33950350604073,6.084271173064759
2022-09-01,contrast,cocaine vs psychostimulants,1.3177048507738265,-8.696737553283217,12.430564266191269
2023-09-01,single series,cocaine,-17.72736402183699,-23.814237174088117,-11.154179209804283
2023-09-01,single series,synthetic_opioids,-18.01913770115756,-24.326694134267825,-11.185830903348515
2023-09-01,single series,psychostimulants,-13.297002365676702,-19.110788448839443,-7.065359463630272
2023-09-01,contrast,cocaine vs synthetic_opioids,0.35590462351686725,-10.18628918908614,12.135524764227657
2023-09-01,contrast,cocaine vs psychostimulants,-5.1098137054565225,-14.44528468109324,5.244315540646061
2024-09-01,single series,cocaine,-3.421871934583365,-11.738243266329352,5.678100751667525
2024-09-01,single series,synthetic_opioids,-7.611643198234663,-17.139706652276708,3.0120474798539743
2024-09-01,single series,psychostimulants,-5.042735042823687,-12.661205472957182,3.240286484094712
2024-09-01,contrast,cocaine vs synthetic_opioids,4.534955928095075,-9.23643600042119,20.395856325556938
2024-09-01,contrast,cocaine vs psychostimulants,1.7069395469333504,-10.054562570661984,15.006406635468705
